index,question_preview,ground_truth,baseline_a_output,baseline_a_correct,baseline_b_output,baseline_b_correct,majority_output,majority_correct,first_attempt_output,first_attempt_correct,verif_flagged_invalid,failure_types,pipeline_output,pipeline_attempts,pipeline_correct,recovery_triggered,recovery_succeeded,surgical_used,recoverability_scores,failure_memory_size
0,"Passage: All biomass goes through at least some of these steps: it needs to be grown, collected, dri",no,no,True,no,True,no,True,no,True,False,NONE,no,1,True,False,False,False,[],0
1,"Passage: Property tax or 'house tax' is a local tax on buildings, along with appurtenant land. It is",yes,yes,True,yes,True,yes,True,yes,True,False,NONE,yes,1,True,False,False,False,[],0
2,Passage: Phantom pain sensations are described as perceptions that an individual experiences relatin,yes,yes,True,yes,True,yes,True,yes,True,False,NONE,yes,1,True,False,False,False,[],0
3,Passage: Harry Potter and the Escape from Gringotts is an indoor steel roller coaster at Universal S,yes,yes,True,yes,True,yes,True,yes,True,False,NONE,yes,1,True,False,False,False,[],0
4,Passage: Hydroxyzine preparations require a doctor's prescription. The drug is available in two form,yes,yes,True,yes,True,yes,True,yes,True,False,NONE,yes,1,True,False,False,False,[],0
5,Passage: Barq's /ˈbɑːrks/ is an American soft drink. Its brand of root beer is notable for having ca,no,no,True,no,True,no,True,no,True,False,NONE,no,1,True,False,False,False,[],0
6,"Passage: In mathematics, parity is the property of an integer's inclusion in one of two categories: ",yes,yes,True,yes,True,yes,True,yes,True,False,NONE,yes,1,True,False,False,False,[],0
7,"Passage: Of the 71 words in this list, 67 are nouns, and most would generally be considered loanword",yes,yes,True,yes,True,yes,True,yes,True,False,NONE,yes,1,True,False,False,False,[],0
8,Passage: Persons driving into Canada must have their vehicle's registration document and proof of in,yes,no,False,yes,True,no,False,no,False,True,KNOWLEDGE_GAP,yes,2,True,True,True,True,[0.21428571428571427],1
9,Passage: The knockout stage of the 2018 FIFA World Cup was the second and final stage of the competi,yes,yes,True,yes,True,yes,True,yes,True,False,NONE,yes,1,True,False,False,False,[],1
10,"Passage: In response to the National Minimum Drinking Age Act in 1984, which reduced by up to 10% th",yes,yes,True,yes,True,yes,True,yes,True,False,NONE,yes,1,True,False,False,False,[],1
11,Passage: Bloodline was announced in October 2014 as part of a partnership between Netflix and Sony P,no,no,True,no,True,no,True,no,True,False,NONE,no,1,True,False,False,False,[],1
12,"Passage: Shower gels for men may contain the ingredient menthol, which gives a cooling and stimulati",yes,no,False,no,False,no,False,no,False,True,LOGIC_GAP|LOGIC_GAP|LOGIC_GAP,no,3,False,True,False,False,"[0.42857142857142855, 0.42857142857142855, 0.42857142857142855]",4
