sample,rsr,memory_size
1,0.5,0
2,0.5,0
3,0.5,0
4,0.5,0
5,0.5,0
6,0.5,0
7,0.5,0
8,0.5,0
9,0.5,1
10,0.5,1
11,0.5,1
12,0.5,1
13,0.5,4
14,0.5,4
15,0.5,4
16,0.5,4
17,0.5,0
18,0.5,0
19,0.5,0
20,0.5,0
21,0.5,0
22,0.5,0
23,0.6666666666666666,2
24,0.6666666666666666,2
25,0.75,3
26,0.75,3
27,0.75,3
28,0.75,3
29,0.75,3
30,0.75,3
31,0.75,3
32,0.75,3
33,0.75,3
34,0.75,3
35,0.75,3
36,0.75,3
37,0.75,3
38,0.75,3
39,0.75,3
40,0.75,3
41,0.75,3
42,0.75,3
43,0.75,3
44,0.75,3
45,0.75,3
46,0.75,3
47,0.75,3
48,0.75,3
49,0.75,3
50,0.6,4
