sample,rsr,memory_size
1,1.0,0
2,1.0,0
3,1.0,0
4,1.0,0
5,1.0,0
6,1.0,0
7,1.0,0
8,1.0,0
9,1.0,0
10,1.0,0
11,1.0,0
12,1.0,0
13,1.0,0
14,1.0,0
15,1.0,0
16,1.0,0
17,1.0,0
18,1.0,0
19,1.0,0
20,1.0,0
21,1.0,0
22,1.0,0
23,1.0,0
24,1.0,0
25,1.0,0
26,1.0,0
27,1.0,0
28,1.0,0
29,1.0,0
30,1.0,0
31,1.0,0
32,1.0,0
33,1.0,0
34,1.0,0
35,1.0,0
36,1.0,0
37,1.0,0
38,1.0,0
39,1.0,0
40,1.0,0
41,1.0,0
42,1.0,0
43,1.0,0
44,1.0,0
45,1.0,0
46,1.0,0
47,1.0,0
48,1.0,0
49,1.0,0
50,1.0,0
51,1.0,0
52,1.0,0
53,1.0,0
54,1.0,0
55,1.0,1
56,1.0,1
57,1.0,1
58,1.0,1
59,1.0,1
60,1.0,1
61,1.0,1
62,1.0,1
63,1.0,1
64,1.0,0
65,1.0,0
66,1.0,0
67,1.0,0
68,1.0,1
69,1.0,1
70,1.0,1
71,1.0,2
72,1.0,2
73,1.0,3
74,1.0,3
75,1.0,3
76,1.0,3
77,1.0,3
78,1.0,3
79,1.0,3
80,1.0,3
81,1.0,3
82,1.0,3
83,1.0,3
84,1.0,3
85,1.0,3
86,1.0,3
87,1.0,3
88,1.0,3
89,1.0,3
90,1.0,3
91,1.0,3
92,1.0,3
93,1.0,3
94,1.0,3
95,1.0,0
96,1.0,0
97,1.0,0
98,1.0,0
99,1.0,0
100,1.0,0
101,1.0,0
102,1.0,0
103,1.0,0
104,1.0,0
105,1.0,0
106,1.0,0
107,1.0,0
108,1.0,0
109,1.0,0
110,1.0,0
111,1.0,0
112,1.0,0
113,1.0,0
114,1.0,0
115,1.0,0
116,1.0,0
117,1.0,0
118,1.0,0
119,1.0,0
120,1.0,0
121,1.0,0
122,1.0,0
123,1.0,0
124,1.0,0
125,1.0,0
126,1.0,0
127,1.0,0
128,1.0,0
129,1.0,0
130,1.0,0
131,1.0,0
132,1.0,0
133,1.0,0
134,1.0,0
135,1.0,0
136,1.0,0
137,1.0,0
138,1.0,0
139,1.0,0
140,1.0,0
141,1.0,0
142,1.0,0
143,1.0,0
144,1.0,0
145,1.0,0
146,1.0,0
147,1.0,0
148,1.0,0
149,1.0,0
150,1.0,0
151,1.0,0
152,1.0,0
153,1.0,0
154,1.0,0
155,1.0,0
156,1.0,0
157,1.0,0
158,1.0,0
159,1.0,0
160,1.0,0
161,1.0,0
162,1.0,0
163,1.0,0
164,1.0,0
165,1.0,0
166,1.0,0
167,1.0,0
168,1.0,0
169,1.0,0
170,1.0,0
171,1.0,0
172,1.0,0
173,1.0,0
174,1.0,0
175,1.0,0
176,1.0,0
177,1.0,0
178,1.0,0
179,1.0,0
180,1.0,0
181,1.0,0
182,1.0,0
183,1.0,1
184,1.0,1
185,1.0,1
186,1.0,1
187,1.0,1
188,1.0,1
189,1.0,1
190,1.0,2
191,1.0,3
192,1.0,3
193,1.0,3
194,1.0,3
195,1.0,3
196,1.0,3
197,1.0,3
198,1.0,3
199,1.0,3
200,1.0,3
